OID_,LAYER,LAT,LON
11601,Noddy species,-16.6068614882,145.973559213
11602,Noddy species,-16.6068566221,145.973560722
11603,Noddy species,-16.6068543799,145.973561687
11604,Noddy species,-16.6068518753,145.973555997
11605,Noddy species,-16.6068558111,145.973554611
11606,Noddy species,-16.606860391,145.973555922
11607,Noddy species,-16.6068589121,145.973545705
11608,Noddy species,-16.606848011,145.97352772
11609,Noddy species,-16.6068486312,145.973528759
11610,Noddy species,-16.6068438128,145.973530046
11611,Noddy species,-16.6068442422,145.973525098
11612,Noddy species,-16.6068427632,145.973526261
11613,Noddy species,-16.606843622,145.973533608
11614,Noddy species,-16.6068455541,145.973533806
11615,Noddy species,-16.6068420476,145.973538012
11616,Noddy species,-16.606840855,145.97353576
11617,Noddy species,-16.6068394238,145.97353581
11618,Noddy species,-16.6068392091,145.97352683
11619,Noddy species,-16.6068482018,145.973548748
11620,Noddy species,-16.6068440036,145.973545037
11621,Noddy species,-16.6068417375,145.973544642
11622,Noddy species,-16.6068382311,145.973544172
11623,Noddy species,-16.6068406164,145.973551148
