"LAYER","NAME","LAT","LON"
"Brown Booby (A)","A181",-16.60628833,145.9747653
"Brown Booby (A)","A182",-16.60637614,145.9747773
"Brown Booby (A)","A183",-16.60621174,145.9747978
"Brown Booby (A)","A184",-16.6062102,145.9748001
"Brown Booby (A)","A185",-16.6062227,145.9748347
"Brown Booby (A)","A186",-16.60622495,145.9748361
"Brown Booby (A)","A187",-16.60620782,145.9748342
"Brown Booby (A)","A188",-16.60621453,145.9748573
"Brown Booby (A)","A189",-16.60621327,145.9748582
"Brown Booby (A)","A190",-16.60622279,145.9748538
"Brown Booby (A)","A191",-16.60622353,145.9748525
"Brown Booby (A)","A192",-16.60623977,145.974859
"Brown Booby (A)","A193",-16.60623956,145.9748615
"Brown Booby (A)","A194",-16.60625187,145.9748793
"Brown Booby (A)","A195",-16.60626816,145.9748522
"Brown Booby (A)","A196",-16.60626413,145.9748338
"Brown Booby (A)","A197",-16.60626511,145.9748351
"Brown Booby (A)","A198",-16.60628103,145.974803
"Brown Booby (A)","A199",-16.60627905,145.9748014
"Brown Booby (A)","A200",-16.60625551,145.9747963
"Brown Booby (A)","A201",-16.60626057,145.9747965
"Brown Booby (A)","A202",-16.60622407,145.9748974
"Brown Booby (A)","A203",-16.60627834,145.9749238
"Brown Booby (A)","A204",-16.60620984,145.9749385
"Brown Booby (A)","A205",-16.60617897,145.9750338
"Brown Booby (A)","A206",-16.60617842,145.9750352
"Brown Booby (A)","A207",-16.60618976,145.9750184
"Brown Booby (A)","A208",-16.60619341,145.9750161
"Brown Booby (A)","A209",-16.60623203,145.9750346
"Brown Booby (A)","A210",-16.60628302,145.9749779
"Brown Booby (A)","A211",-16.60636221,145.9749417
"Brown Booby (A)","A212",-16.60623987,145.9750672
"Brown Booby (A)","A213",-16.60620787,145.9751225
"Brown Booby (A)","A214",-16.60628442,145.9753949
"Brown Booby (A)","A215",-16.60629902,145.9754
"Brown Booby (A)","A216",-16.60629781,145.9753911
"Brown Booby (A)","A217",-16.60629118,145.9753831
"Brown Booby (A)","A218",-16.60629201,145.9753754
"Brown Booby (A)","A219",-16.60630341,145.9753848
"Brown Booby (A)","A220",-16.6063,145.9753615
"Brown Booby (A)","A221",-16.60640402,145.9751342
"Brown Booby (A)","A222",-16.60663471,145.9747404
"Brown Booby (A)","A223",-16.60658251,145.9746864
"Brown Booby (A)","A224",-16.60658001,145.9746866
"Brown Booby (A)","A225",-16.60653465,145.9745152
"Brown Booby (A)","A226",-16.60653616,145.9745131
"Brown Booby (A)","A227",-16.60660108,145.9739332
"Brown Booby (A)","A228",-16.60654635,145.9738631
"Brown Booby (A)","A229",-16.60654947,145.9738804
"Brown Booby (A)","A230",-16.60658074,145.9738677
"Brown Booby (A)","A231",-16.60658003,145.9738698
"Brown Booby (A)","A232",-16.60666538,145.9739894
"Brown Booby (A)","A233",-16.606666,145.9739875
"Brown Booby (A)","A234",-16.60662129,145.9738694
"Brown Booby (A)","A235",-16.606425,145.9751496
"Brown Booby (A)","A236",-16.60642935,145.9751521
"Brown Booby (A)","A237",-16.60643327,145.9751528
"Brown Booby (A)","A238",-16.60643765,145.9751544
"Brown Booby (A)","A239",-16.606427,145.9751583
"Brown Booby (A)","A240",-16.60670464,145.9743955
"Brown Booby (A)","A241",-16.60671381,145.9743933
"Brown Booby (A)","A242",-16.60640247,145.9741706
"Brown Booby (A)","A243",-16.60640081,145.9741743
"Brown Booby (A)","A245",-16.60647978,145.9740767
"Brown Booby (A)","A246",-16.60652732,145.9739577
"Brown Booby (A)","A247",-16.60692715,145.9735743
"Brown Booby (A)","A247",-16.60636829,145.9742243
"Brown Booby (A)","A248",-16.60621066,145.9747982
"Brown Noddy (B)","B1",-16.60683245,145.9730518
"Brown Noddy (B)","B2",-16.60683517,145.9730507
"Brown Noddy (B)","B3",-16.60684025,145.9730529
"Brown Noddy (B)","B4",-16.60683732,145.9730553
"Brown Noddy (B)","B5",-16.60683792,145.9730593
"Brown Noddy (B)","B6",-16.6068356,145.9730674
"Brown Noddy (B)","B7",-16.60684089,145.9730697
"Brown Noddy (B)","B8",-16.60683934,145.9730725
"Brown Noddy (B)","B9",-16.60683649,145.9730764
"Brown Noddy (B)","B10",-16.60683248,145.9730733
"Brown Noddy (B)","B11",-16.60683215,145.973082
"Brown Noddy (B)","B12",-16.6068303,145.9730688
"Brown Noddy (B)","B13",-16.60682943,145.9730726
"Brown Noddy (B)","B14",-16.60682734,145.9730624
"Brown Noddy (B)","B15",-16.60682196,145.9730721
"Brown Noddy (B)","B16",-16.60682646,145.9730716
"Brown Noddy (B)","B17",-16.60682462,145.9730785
"Brown Noddy (B)","B18",-16.6068217,145.9730792
"Brown Noddy (B)","B19",-16.60682405,145.9730827
"Brown Noddy (B)","B20",-16.60681774,145.9730826
"Brown Noddy (B)","B21",-16.60681606,145.9730744
"Brown Noddy (B)","B22",-16.60681428,145.9730731
"Brown Noddy (B)","B23",-16.60680981,145.9730757
"Brown Noddy (B)","B24",-16.60680813,145.9730711
"Brown Noddy (B)","B25",-16.60680635,145.973072
"Brown Noddy (B)","B26",-16.60680254,145.9730718
"Brown Noddy (B)","B27",-16.60680507,145.9730791
"Brown Noddy (B)","B28",-16.60680441,145.9730818
"Brown Noddy (B)","B29",-16.60681037,145.9730825
"Brown Noddy (B)","B30",-16.60679872,145.9730776
"Brown Noddy (B)","B31",-16.60680047,145.9730703
"Brown Noddy (B)","B32",-16.60679793,145.9730684
"Brown Noddy (B)","B33",-16.60675327,145.9733093
"Brown Noddy (B)","B34",-16.60674186,145.9733182
"Brown Noddy (B)","B35",-16.60672255,145.9733217
"Brown Noddy (B)","B36",-16.60671448,145.9733209
"Brown Noddy (B)","B37",-16.60673499,145.973326
"Brown Noddy (B)","B38",-16.606741,145.9733281
