OID_,LAYER,NAME,LAT,LONG
203,Crested Tern FS (FFS),FFS27,-16.606049155600001,145.974871468000003
204,Crested Tern FS (FFS),FFS28,-16.606045737100001,145.974874261999986
205,Crested Tern FS (FFS),FFS29,-16.606044632200000,145.974878128999990
206,Crested Tern FS (FFS),FFS30,-16.606058306100000,145.974875263999991
207,Crested Tern FS (FFS),FFS31,-16.606045806200001,145.974881460000006
208,Crested Tern FS (FFS),FFS32,-16.606047567200001,145.974887153999987
209,Crested Tern FS (FFS),FFS33,-16.606043768900001,145.974901262999992
210,Crested Tern FS (FFS),FFS34,-16.606043699899999,145.974904987999992
211,Crested Tern FS (FFS),FFS35,-16.606042767600002,145.974907887999990
212,Crested Tern FS (FFS),FFS36,-16.606043112900000,145.974911039999995
213,Crested Tern FS (FFS),FFS37,-16.606043250999999,145.974914084000005
214,Crested Tern FS (FFS),FFS38,-16.606049673600001,145.974898005000000
215,Noddy Sp. (B),B177,-16.606064917200001,145.974748618000007
216,Noddy Sp. (B),B178,-16.606066873400000,145.974746984000006
217,Noddy Sp. (B),B179,-16.606067606900002,145.974749013000007
218,Noddy Sp. (B),B180,-16.606069128400001,145.974747406999995
219,Noddy Sp. (B),B181,-16.606069264199999,145.974749351000014
220,Noddy Sp. (B),B182,-16.606067145000001,145.974751717999993
221,Noddy Sp. (B),B183,-16.606069590200001,145.974751013000002
222,Noddy Sp. (B),B184,-16.606065895299999,145.974755804000011
223,Noddy Sp. (B),B185,-16.606066737500001,145.974759212999999
224,Noddy Sp. (B),B186,-16.606064781299999,145.974763130000014
225,Noddy Sp. (B),B187,-16.606063721799998,145.974759917000000
226,Noddy Sp. (B),B188,-16.606061684099998,145.974768229999995
227,Noddy Sp. (B),B189,-16.606061439600001,145.974771414000003
228,Noddy Sp. (B),B190,-16.606064102100000,145.974771159999989
229,Noddy Sp. (B),B191,-16.606062281800000,145.974774316000008
230,Noddy Sp. (B),B192,-16.606060706000001,145.974775357999988
231,Noddy Sp. (B),B193,-16.606062417699999,145.974777584000009
232,Noddy Sp. (B),B194,-16.606062254600001,145.974779584999993
233,Noddy Sp. (B),B195,-16.606059157400001,145.974781613999994
234,Noddy Sp. (B),B196,-16.606063640300000,145.974784825999990
235,Noddy Sp. (B),B197,-16.606065080200000,145.974780825000011
236,Noddy Sp. (B),B198,-16.606065677899998,145.974784685000003
237,Noddy Sp. (B),B199,-16.606063721799998,145.974789334000008
238,Noddy Sp. (B),B200,-16.606060923400001,145.974788319999988
239,Noddy Sp. (B),B201,-16.606058342299999,145.974787756000012
240,Noddy Sp. (B),B202,-16.606057445699999,145.974792320999995
241,Noddy Sp. (B),B203,-16.606059999599999,145.974790855999998
242,Noddy Sp. (B),B204,-16.606062173100000,145.974791277999998
243,Noddy Sp. (B),B205,-16.606062091599998,145.974794406000001
244,Noddy Sp. (B),B206,-16.606059157400001,145.974794631999998
245,Noddy Sp. (B),B207,-16.606058152100001,145.974796717000004
246,Crested Tern Other (FO),FO1,-16.606053913800000,145.974798913999990
247,Noddy Sp. (B),B208,-16.606058360700001,145.974799346999987
248,Noddy Sp. (B),B209,-16.606058360700001,145.974801460000009
249,Noddy Sp. (B),B210,-16.606060984900001,145.974801423999992
250,Noddy Sp. (B),B211,-16.606061019500000,145.974803285999997
251,Noddy Sp. (B),B212,-16.606059085799998,145.974804218000003
252,Noddy Sp. (B),B213,-16.606057739099999,145.974804360999997
253,Noddy Sp. (B),B214,-16.606060501500000,145.974805865000008
